Constituency,ConstituencyKey,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
PEDDAPALLE,2,VAMSI KRISHNA GADDAM,INDIAN NATIONAL CONGRESS,SRINIVAS GOMASE,BHARATIYA JANATA PARTY,131364,Result Declared
PHULPUR,51,PRAVEEN PATEL,BHARATIYA JANATA PARTY,AMAR NATH SINGH MAURYA,SAMAJWADI PARTY,4332,Result Declared
PILIBHIT,26,JITIN PRASADA,BHARATIYA JANATA PARTY,BHAGWAT SARAN GANGWAR,SAMAJWADI PARTY,164935,Result Declared
PONNANI,7,DR. M.P ABDUSSAMAD SAMADANI,INDIAN UNION MUSLIM LEAGUE,K.S HAMZA,COMMUNIST PARTY OF INDIA (MARXIST),235760,Result Declared
PORBANDAR,11,DR. MANSUKH MANDAVIYA,BHARATIYA JANATA PARTY,LALIT VASOYA,INDIAN NATIONAL CONGRESS,383360,Result Declared
PRATAPGARH,39,SHIV PAL SINGH PATEL (DR. S P SINGH),SAMAJWADI PARTY,SANGAM LAL GUPTA,BHARATIYA JANATA PARTY,66206,Result Declared
PUNE,34,MURLIDHAR MOHOL,BHARATIYA JANATA PARTY,DHANGEKAR RAVINDRA HEMRAJ,INDIAN NATIONAL CONGRESS,123038,Result Declared
PURI,17,SAMBIT PATRA,BHARATIYA JANATA PARTY,ARUP MOHAN PATNAIK,BIJU JANATA DAL,104709,Result Declared
PURNIA,12,RAJESH RANJAN ALIAS PAPPU YADAV,INDEPENDENT,SANTOSH KUMAR,JANATA DAL (UNITED),23847,Result Declared
PURULIA,35,JYOTIRMAY SINGH MAHATO,BHARATIYA JANATA PARTY,SHANTIRAM MAHATO,ALL INDIA TRINAMOOL CONGRESS,17079,Result Declared
PURVI CHAMPARAN,3,RADHA MOHAN SINGH,BHARATIYA JANATA PARTY,DR RAJESH KUMAR,VIKASSHEEL INSAAN PARTY,88287,Result Declared
RAIGARH,2,RADHESHYAM RATHIYA,BHARATIYA JANATA PARTY,DR. MENKA DEVI SINGH,INDIAN NATIONAL CONGRESS,240391,Result Declared
RAIPUR,8,BRIJMOHAN AGRAWAL,BHARATIYA JANATA PARTY,VIKAS UPADHYAY,INDIAN NATIONAL CONGRESS,575285,Result Declared
RAJGARH,20,RODMAL NAGAR,BHARATIYA JANATA PARTY,DIGVIJAYA SINGH,INDIAN NATIONAL CONGRESS,146089,Result Declared
RAJNANDGAON,6,SANTOSH PANDEY,BHARATIYA JANATA PARTY,BHUPESH BAGHEL,INDIAN NATIONAL CONGRESS,44411,Result Declared
RAJSAMAND,22,MAHIMA KUMARI MEWAR,BHARATIYA JANATA PARTY,DR. DAMODAR GURJAR,INDIAN NATIONAL CONGRESS,392223,Result Declared
RAMANATHAPURAM,35,NAVASKANI K,INDIAN UNION MUSLIM LEAGUE,PANNEERSELVAM O S/O OTTAKARATHEVAR,INDEPENDENT,166782,Result Declared
RATLAM,24,ANITA NAGARSINGH CHOUHAN,BHARATIYA JANATA PARTY,KANTILAL BHURIA,INDIAN NATIONAL CONGRESS,207232,Result Declared
REWA,10,JANARDAN MISHRA,BHARATIYA JANATA PARTY,NEELAM ABHAY MISHRA,INDIAN NATIONAL CONGRESS,193374,Result Declared
