ID,State,Constituency,Total Electors,Polled (%),Total Votes,Phase
351,TELANGANA,MEDAK,1828210,75.09,1372894,4
352,TELANGANA,NAGARKURNOOL,1738254,69.46,1207470,4
353,TELANGANA,NALGONDA,1725465,74.02,1277137,4
354,TELANGANA,NIZAMABAD,1704867,71.92,1226133,4
355,TELANGANA,PEDDAPALLE,1596430,67.87,1083467,4
356,TELANGANA,SECUNDERABAD,2120401,49.04,1039834,4
357,TELANGANA,WARANGAL,1824466,68.86,1256301,4
358,TELANGANA,ZAHIRABAD,1641410,74.63,1225049,4
359,UTTAR PRADESH,AKBARPUR,1869167,57.78,1079978,4
360,UTTAR PRADESH,BAHARAICH,1838684,57.42,1055818,4
361,UTTAR PRADESH,DHAURAHRA,1719345,64.54,1109680,4
362,UTTAR PRADESH,ETAWAH,1828498,56.36,1030554,4
363,UTTAR PRADESH,FARRUKHABAD,1747182,59.08,1032244,4
364,UTTAR PRADESH,HARDOI,1910485,57.52,1098820,4
365,UTTAR PRADESH,KANNAUJ,1988925,61.08,1214886,4
366,UTTAR PRADESH,KANPUR,1662859,53.05,882074,4
367,UTTAR PRADESH,KHERI,1870170,64.68,1209621,4
368,UTTAR PRADESH,MISRIKH,1878195,55.89,1049630,4
369,UTTAR PRADESH,SHAHJAHANPUR,2331834,53.36,1244364,4
370,UTTAR PRADESH,SITAPUR,1759943,62.54,1100741,4
371,UTTAR PRADESH,UNNAO,2341740,55.46,1298677,4
372,WEST BENGAL,ASANSOL,1770281,73.27,1297096,4
373,WEST BENGAL,BAHARAMPUR,1783078,77.54,1382678,4
374,WEST BENGAL,BARDHAMAN PURBA,1801333,82.85,1492453,4
375,WEST BENGAL,BARDHAMAN-DURGAPUR,1851780,80.72,1494778,4
376,WEST BENGAL,BIRBHUM,1857022,81.91,1521023,4
377,WEST BENGAL,BOLPUR,1839234,82.66,1520401,4
378,WEST BENGAL,KRISHNANAGAR,1755631,80.65,1415859,4
379,WEST BENGAL,RANAGHAT,1871658,81.87,1532304,4
380,BIHAR,HAJIPUR,1967094,58.43,1149406,5
381,BIHAR,MADHUBANI,1934980,53.04,1026408,5
382,BIHAR,MUZAFFARPUR,1866106,59.47,1109688,5
383,BIHAR,SARAN,1795010,56.73,1018366,5
384,BIHAR,SITAMARHI,1947996,56.21,1094885,5
385,JAMMU AND KASHMIR,BARAMULLA,1737865,59.1,1027084,5
386,JHARKHAND,CHATRA,1689926,63.69,1076352,5
387,JHARKHAND,HAZARIBAGH,1939374,64.39,1248798,5
388,JHARKHAND,KODARMA,2205318,61.81,1363010,5
389,LADAKH,LADAKH,184808,71.82,132727,5
390,MAHARASHTRA,BHIWANDI,2087244,59.89,1250090,5
391,MAHARASHTRA,DHULE,2022061,60.21,1217523,5
392,MAHARASHTRA,DINDORI,1853387,66.75,1237180,5
393,MAHARASHTRA,KALYAN,2082221,50.12,1043610,5
394,MAHARASHTRA,MUMBAI NORTH,1811942,57.02,1033241,5
395,MAHARASHTRA,MUMBAI NORTH CENTRAL,1744128,51.98,906530,5
396,MAHARASHTRA,MUMBAI NORTH EAST,1636890,56.37,922760,5
397,MAHARASHTRA,MUMBAI NORTH WEST,1735088,54.84,951580,5
398,MAHARASHTRA,MUMBAI SOUTH,1536168,50.06,769010,5
399,MAHARASHTRA,MUMBAI SOUTH CENTRAL,1474405,53.6,790339,5
400,MAHARASHTRA,NASHIK,2030124,60.75,1233379,5
401,MAHARASHTRA,PALGHAR,2148514,63.91,1373162,5
402,MAHARASHTRA,THANE,2507372,52.09,1306194,5
403,ODISHA,ASKA,1620974,62.67,1015883,5
404,ODISHA,BARGARH,1631974,79.78,1302069,5
405,ODISHA,BOLANGIR,1801744,77.52,1396719,5
406,ODISHA,KANDHAMAL,1339090,74.16,993091,5
407,ODISHA,SUNDARGARH,1576105,73.02,1150875,5
408,UTTAR PRADESH,AMETHI,1796098,54.34,976053,5
409,UTTAR PRADESH,BANDA,1747425,59.7,1043256,5
410,UTTAR PRADESH,BARABANKI,1918491,67.2,1289258,5
411,UTTAR PRADESH,FAIZABAD,1927459,59.14,1139882,5
412,UTTAR PRADESH,FATEHPUR,1938563,57.09,1106690,5
413,UTTAR PRADESH,GONDA,1843121,51.62,951394,5
414,UTTAR PRADESH,HAMIRPUR,1839761,60.6,1114874,5
415,UTTAR PRADESH,JALAUN,2006161,56.18,1127112,5
416,UTTAR PRADESH,JHANSI,2161221,63.86,1380214,5
417,UTTAR PRADESH,KAISERGANJ,1904726,55.68,1060576,5
418,UTTAR PRADESH,KAUSHAMBI,1909620,52.8,1008255,5
419,UTTAR PRADESH,LUCKNOW,2172171,52.28,1135624,5
420,UTTAR PRADESH,MOHANLALGANJ,2187232,62.88,1375372,5
421,UTTAR PRADESH,RAE BARELI,1784314,58.12,1036997,5
422,WEST BENGAL,ARAMBAGH,1883266,82.62,1555882,5
423,WEST BENGAL,BANGAON,1836374,81.04,1488209,5
424,WEST BENGAL,BARRACKPUR,1508728,75.41,1137763,5
425,WEST BENGAL,HOOGHLY,1858067,81.38,1512060,5
426,WEST BENGAL,HOWRAH,1769184,71.73,1269079,5
427,WEST BENGAL,SRERAMPUR,1926645,76.44,1472793,5
428,WEST BENGAL,ULUBERIA,1741438,79.78,1389316,5
429,BIHAR,GOPALGANJ,2024673,52.32,1059298,6
430,BIHAR,MAHARAJGANJ,1934937,52.27,1011421,6
431,BIHAR,PASCHIM CHAMPARAN,1756078,61.62,1082178,6
432,BIHAR,PURVI CHAMPARAN,1790761,59.68,1068642,6
433,BIHAR,SHEOHAR,1832745,57.4,1052021,6
434,BIHAR,SIWAN,1896512,52.49,995416,6
