ID,State,PC_Name,Total Electors,Polled (%),Total Votes,Phase
198,Bihar,Madhepura,2071166,58.29,1207368,3
199,Bihar,Supaul,1927207,63.55,1224821,3
200,Chhattisgarh,BILASPUR,2102687,64.77,1361871,3
201,Chhattisgarh,DURG,2090414,73.68,1540193,3
202,Chhattisgarh,JANJGIR-CHAMPA,2056047,67.56,1389012,3
203,Chhattisgarh,KORBA,1618864,75.63,1224268,3
204,Chhattisgarh,RAIGARH,1838547,78.85,1449673,3
205,Chhattisgarh,RAIPUR,2375379,66.82,1587116,3
206,Chhattisgarh,SURGUJA,1819347,79.89,1453444,3
207,"Dadra & Nagar Haveli and
Daman & Diu","Dadar & Nagar
Haveli",283024,72.52,205248,3
208,"Dadra & Nagar Haveli and
Daman & Diu",Daman & Diu,134189,68.77,92279,3
209,Goa,North Goa,580577,77.69,451042,3
210,Goa,South Goa,598767,74.47,445916,3
211,Gujarat,Ahmedabad East,2038162,54.72,1115317,3
212,Gujarat,Ahmedabad West,1726987,55.45,957573,3
213,Gujarat,Amreli,1732810,50.29,871373,3
214,Gujarat,Anand,1780182,65.04,1157763,3
215,Gujarat,Banaskantha,1961924,69.62,1365989,3
216,Gujarat,Bardoli,2048408,64.81,1327669,3
217,Gujarat,Bharuch,1723353,69.16,1191877,3
218,Gujarat,Bhavnagar,1916900,53.92,1033629,3
219,Gujarat,Chhota Udaipur,1821708,69.15,1259760,3
220,Gujarat,Dahod,1875136,59.31,1112211,3
221,Gujarat,Gandhinagar,2182736,59.8,1305197,3
222,Gujarat,Jamnagar,1817864,57.67,1048410,3
223,Gujarat,Junagadh,1795110,58.91,1057462,3
224,Gujarat,Kachchh,1943136,56.14,1090878,3
225,Gujarat,Kheda,2007404,58.12,1166619,3
226,Gujarat,Mahesana,1770617,59.86,1059938,3
227,Gujarat,Navsari,2223550,59.66,1326542,3
228,Gujarat,Panchmahal,1896743,58.85,1116171,3
229,Gujarat,Patan,2019916,58.56,1182950,3
230,Gujarat,Porbandar,1768212,51.83,916519,3
231,Gujarat,Rajkot,2112273,59.69,1260768,3
232,Gujarat,Sabarkantha,1976349,63.56,1256210,3
233,Gujarat,Surendranagar,2033419,55.09,1120128,3
234,Gujarat,Vadodara,1949573,61.59,1200768,3
235,Gujarat,Valsad,1859974,72.71,1352413,3
236,Karnataka,Bagalkot,1806183,72.66,1312319,3
237,Karnataka,Belgaum,1923788,71.49,1375283,3
238,Karnataka,Bellary,1884040,73.59,1386553,3
239,Karnataka,Bidar,1892962,65.47,1239358,3
240,Karnataka,Bijapur,1946090,66.32,1290719,3
241,Karnataka,Chikkodi,1761694,78.66,1385688,3
242,Karnataka,Davanagere,1709244,76.99,1315916,3
243,Karnataka,Dharwad,1831975,74.37,1362421,3
244,Karnataka,Gulbarga,2098202,62.25,1306119,3
245,Karnataka,Haveri,1792774,77.6,1391214,3
246,Karnataka,Koppal,1866397,70.99,1324898,3
